Task number Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average percent derivs
0,0.7528346390270582,1.9015465944921182,12.111615657806396,19,9.836065573770492
1,0.6482290865384206,2.727310649806981,9.5296049118042,14,11.475409836065573
2,0.7361949792985667,2.0611228291706984,20.000585317611694,24,9.836065573770492
3,0.6443887279271234,2.7998405713950443,9.939947843551636,21,8.19672131147541
4,0.7536114774145544,1.9548168328156503,12.820582628250122,18,13.114754098360656
5,0.5229702618276552,3.8137280786912036,5.52338981628418,11,8.19672131147541
6,0.5581847993316107,3.372838200222329,5.273886442184448,10,11.475409836065573
7,0.6022221365452622,3.0131569085463297,9.377808094024658,13,11.475409836065573
8,0.465156162782433,4.019992092345348,4.630146026611328,9,11.475409836065573
9,0.670511264882565,2.4572345441072567,7.325335741043091,13,8.19672131147541
